recipient,artist_profile,num_drops,num_unique_minters,num_farcaster_minters,num_transactions,usd_value_of_transactions,uuid_list,application_id_list
0xdE3975723d5dE76070Ca2169aB8716e48b3B4b81,"trevortraynor",5,136,107,358,967.1529309624887,"['db558506-0677-48ed-a096-50346b652dd5','9e0b863b-571d-4740-aba7-f2e63305a9c9','ebd8334c-f8f6-46ca-be4e-29e6eb075caf','c9a6c12c-53ff-458c-a628-4013cc795728','1a8abbcc-f05f-4f62-898b-21ba938ade7e']","['0xaac55192adc959f407c090792b75ba689eea349bc8805621dcbc09586e7b9f16', '0x598a693efe1605607a27bb519a04a2a6e8b9ce2f92902367fdb2355dd2d1fc00', '0x5a3369a9110aba8d1a4bb6f105532f096bdba22e97151bd1289fed0016d4a5c1', '0x8d0ea6cfaf1cbe31a0c885d3064b1cc35bc1bf41219afbc33b8f0c031d1d9206', '0x5c4c98b7c8512498dce82785480171aa43d8083e6f99cda04a3c6b8960328f09']"
0xe2906617C0Fc9Bad975dFD24EeD826f00C1065E0,"zacurowave",7,155,39,188,231.4953378458427,['c1d4070f-519f-423b-a5a2-87f4d9cc0944'],['0xfec917f2b1d2d624508780a151a3d6613a57240a53b5a9772042241708afccbc']
0xe588F6581329cE32E40641E20c61A96F296A763A,"ranxdeer",5,4,3,54,1.302219,['f9506fe6-3498-4039-87c1-77ccbca32a67'],['0x458bf120405cfada982a7959a53d1dc561724bb2500354a256fdbb340a1fc8f8']
0xe874BA46982D7cBaB5931a50c2DC81A7aEb80344,"newlightvisuals",2,151,129,166,390.18442721999986,['267777a4-0155-4486-a50e-017382ea6580'],['0xa053bb6692667fea947a78f98fac0415dcf7106a5a9d019c4e16cde0b6155234']
0xe91CE9548017F1Ec84e4b9342f88817fD768E918,"puffdood.eth",35,6062,5183,1910,134732.71130238773,['01596d09-d86c-4a1c-95d7-5ac44f15d1d4'],['0xe4a27a3b1d37d9d5e926326c59b07b3912aa7c8fae25dc134496aa435a08cd68']
0xeA124F96A1226d0956D38DD95c089d5cd5f82D71,"basefrens",6,4619,1878,5581,14116.892972409973,['c737f082-a6df-49b4-9c5f-a25e68c3772c'],['0x54e8d5144001b90d274e9ce8acdce69d7a7af4da1e67d9695e5c718edd6df391']
0xec596A3E17F90dE883DD7Eb413e827A346fE8930,"iloveyouens.eth",19,26,11,160,37.27704112000001,['db71f223-a2a8-4ee7-b361-ff85b0b39f58'],['0x3b59083691abf3099568cd9b82f2f9f2c134c04899e502862b083f284754bcdb']
0xf1f5D35c46Fd62fDD9150C39acc4A1b6A8327Ae4,"itsai",10,671,259,87,19.67838762,['4eac0c0f-9331-4f97-9ffd-daf428ab4fe5'],['0xcc1060edf3391da084931b0f602a87ecab4dd3ba59484e701dce3ca656a9d122']
0xf3792d9808C19638155A1cc6072cdAa8ee25F0Ac,"natefields",8,16,6,40,20.10782427,['b42e04ba-da11-43a1-8b78-c19a6f5edc1a'],['0x5d0667f60f7eb867cc8962c80e10cb3a1d530c4c1a00e18c1c748ce72cc3a6bb']
0xf3c0f24ECA4b1c02117711c7945Ce1FBb19c0940,"trebor69",8,782,687,1403,1703.9407022099988,['da46d436-1926-4eca-9174-a4d27e02df0b'],['0x569c15c30ec8622023bc02b4776a33ec14c77a014a23111ef4ee0c8bc6da7d45']
0xf56E55e35d2CCa5A34F5Ba568454974424aEA0F4,"music-guy.eth",122,2414,1909,1350,1967.3697689699998,"['e96523ec-5189-4e6e-8565-b23f335edc52','c6597abc-1fb6-44a4-a02b-2f2add1e1c92','d386552e-56da-4123-ab5d-4985587cc049','e0994aa6-8a6a-4146-be34-5c6bb72081fd','5d5de4e1-6ca0-456c-82e7-895678d59c84','2a8d84c4-2ca4-4c5a-8ecf-03e2ef8470bd','568706f3-8127-448f-b0b1-56c28e4f3ed1']","['0x73258d731bddea7fe5a85116b504ff137dad6abfa674a06b0d5e7aa0ca2f5351', '0xd62663bfbe5e4240d6b64452d1309efc4fe5837d293e731dfbeb94ff24a5a3ea', '0x5ca5853c76a1b4ba626e1284a3026ff379bdf43afb11a602341829b9c69db46d', '0x10657831aa619ab73596161ce40e23c20c5dd02a8920dbfffacaa70b6e873779', '0x24ea792356b94b84a06c53bf437435d14e14176402b475e6a36290cc50f9795e', '0xb07fdf1ede14ea0abf845c015d4ad73f336e50acb273a351df0db1c5562707c4', '0xf17f2117918219f9f8df96b88122cfdd54782cd0632ae8a71a0b90ece8f50856']"
0xf7455a50c1211cA3114A81D98d228B8d83479e9A,"offtotheether",1,1,0,2,0.652106,['b5c5970d-40d8-4830-92ca-e0c9b1006bb4'],['0x7ae53a1c501a665ac0082762cc4dcee68d36bb2ad4b11d9ac39909895e842224']
0xf977A728f3AA00885b2dE0A106f8ae69d17adB08,"primitivesnft",3,8319,5228,9025,80998.00145729017,['2802267f-fbce-4450-88db-7f7b72bbef97'],['0x560e862e98c3a55998464d95cad73a43b6fd3f2e43ddf9ab251eb262d260e1c9']
