recipient,name,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,uuid_list,application_id_list
0x0000000000000000000000000000000000000000,Extra Finance (Base),1335860.0,2414497.0,29770,43744,3028,4064,1005,879,"['05d2a0b5-d992-41f2-8084-08322192abc4', '0eb3749d-9ea7-4c1c-9908-0e4fb4755975', '10168062-e18c-4f91-a214-a126cd9f3cbc', '136a42d8-4e02-4932-836c-aff33bb9bcbe', '4087168d-f788-45ea-ad71-08105452abaf', '42097b50-47c5-45bb-8872-6f1c42c32663', '4d17dd6e-543e-4fd3-8b72-9070f0a9cd96', '4f185f8a-50c9-44c0-b7c1-e918881df887', '548d8432-a50b-40a6-bba3-47b208636b79', '5c6bafc8-a69e-4550-a8a8-603ec33b59e2', '6650e99e-f9fa-4760-9c4a-1772ff426ed7', '6d13d31a-d799-46f1-a02a-9de4dfdeb121', '6da6fff9-2fd0-4717-97de-f57e20186ddd', '71db67a7-2a54-4837-afbf-8ba2de77d4a1', '73e34214-0625-41ba-a0a1-664c0f734812', '7a6b336c-5033-4129-9464-c880bc59d655', '81033a44-0cd1-49d0-a55f-13949cad7a24', '87db91eb-a5df-4b74-bf86-bf36e2870d57', '95899926-4ec1-4857-8912-7be3d5b828d7', '95e3e0e4-772f-4b7f-8fbd-0fa1a35c39f7', '980a311c-0f9a-45b3-9cf9-2e0e17081bbf', '9bd47e9c-34d7-4aa6-8045-0e86088a01d4', '9fae12f9-81b2-4bf5-82af-df8359ea07de', 'a2fdba82-31b9-4790-ab9f-943c3938a500', 'a9636d73-db9f-462a-9dd4-7d23cdfc72a7', 'addaa447-104d-48d9-a587-13a46065266a', 'b84fe5d1-5507-4388-9451-4e657edd54da', 'd67f6334-f1d9-4cb9-8a17-9167ae690b16', 'dc40120d-41c7-4417-b83a-b28fcbe01b6e', 'e22f7b65-2395-455f-8b69-1c95ac959acc', 'e57a7b35-20a5-4022-ae69-d0dfa9c6a7b7', 'f1e3fce7-8fae-44b9-bd66-766f621cdbc2', 'f4592ad4-0857-4032-87c6-3d11dd4c937a']","['0x800b24e08c536ab8fbe1e3a7f27f47f3d6198b7c3f183d94276c0e6b736c3846', '0x18233c6aee1b0276c807c42a64a526c5f5643c38daf3967773523f570bc08149', '0x62aac49a1612293209fe21062568d4ae71759d0163f7e2b7211d98ca2cda0d41', '0x9419880af902aa1bdc819fd32ec969383e7fd7e52a43cc514d8499adeaaa8001', '0xb83d33308ca8afeaafb78c6d2d1cbc2437ba73d4d1ef59cec4b4516949716710', '0x83d09cb1c2cabceac17e64c7afbbc544cbb4ee011bdc305c8289e83133d78fdc', '0x6f08d56b3856826fa7cbea1bd2aed992e5955726141c09e0727bd268c975f8ca', '0x25f86cb9c66bd712f82ad77a18dab79555bcec30fb7e7cf77de9635c736a9003', '0x48f5d01d0dfa98ba81ea860f45785e45744490438553dd0267778ad37bb7c662', '0x50702bf70cd33c9307035aacd768859b05b099c8953106048172c6a8ec0fb67b', '0x499f181ee85abf97d577792c37ed81afbd1d0056b50ce4ee8c7fc41c4adceb2f', '0x7e2ef832300a180ad78db0668a7c02a12dd901d90cc1bed3f90f9d9f2613ca04', '0x13b05ad6cffc08bdee11b69cb3de3d3dbacc6d20ec3a640db4a7e295335b1960', '0xe56ec887b217e02760ac1a408802914e82a60f11aa10b02c072a72136c7881bb', '0xd588a3da9b7250b0b17c87390314760d531da1988c8913bb10063b71783c40c8', '0x1e9a2beee421f570213d8f8a4ce85d8c0271586162a77cf0610cbc9ca5dbdfa5', '0x7b00af0d78899a448667cfd616489ea876d091fb81835720c6b8615c32d57642', '0x062e0669e7cc3983b82904242c70969357ae1e9a7048cef913a0feb66bb4711a', '0xd8d98cba9dd4b1e80ec3123cc8bb957d9b6ed1a3ddcd2fc54f27fc8353d9dadc', '0x26185de42a71f93ce6c8d3d7a4dab0d9286d351ec9fcd80589de1b4731cf5933', '0xbd825550305c7762b58087d2c02fde25be6145cfd336508cde84758f3b76d98f', '0x87d33263218d974464d2520afd0873bbf77ba61361b68cf18d8c1d5a43058108', '0xfd69d7910f22f380d68ab6b020f7f33cd3fbbfafde35ec15da55cfa5938c8d67', '0x5edf6eb4fe66e948dfe609291f65ef95971819d485745f0caf6ac334a36dccbb', '0x6f7c625970db40df041d07980d03a326d436a704c62a053c5347b7397189d2ca', '0xa037b4b24232c67d48c2306246eb668f0c0ec6817c5ac4143506de327d6a2a04', '0xe9f1bfa315e3acfa50a79e68953bda9c5d989680034a4b69c5d4245e9aef55ba', '0x1c6075a90c796711785febcf2654aded378afc6676acae107b786f009511583e', '0x3f070d884d884b7e951bdb42dd966ba6a003380bfc9daa4d7e58354529d7b531', '0x9f9eb8fd1085a02870e0f1ee34d87a3a516b14990d6bee754efed505f3af02d2', '0xb58417efded17e7ea778fd9955bb660977dffdd92011c780ea8ad1bbb3fa3419', '0x7e77ceb3decfbdcf5f65706ba9d08add3c8263ea683b529a54f90c8e3a36d1da', '0x079ea06df8d4b2548e8501465409421640e45be7a586b44dc572a41c9f9a2f12']"
0x0000000000000000000000000000000000000000,Extra Finance (OP),294758.0,664643.0,4006,7131,401,745,242,269,"['0052287b-4f92-4994-9289-2eec8dcdef7a', '0f01e1a1-4a16-41e0-bebb-587e79ebdb8e', '14c58b16-5a99-4420-ab80-0ff6f547f6bc', '21526586-4609-4794-a4ba-6580844ea614', '2cb8e3bd-afb8-468e-b6ee-6b726cce8337', '2f3f760c-dff7-47e6-a262-0ad44049ba32', '45eff953-055d-489a-bc62-60615cb3af35', '4b8f6560-3041-4230-ac4f-19c36b87cae9', '5a277efe-8a04-4614-a70d-736d831bdc93', '8322a99b-fb04-47fb-bd7a-0c8fe51bb335', '8bfbfe7c-d66a-4e72-83be-88bf7ce40dc0', '954dde9d-68a0-488a-b2ad-46feab3ff5ca', '95d8efac-7497-4efa-a583-ea86f705e50f', '974cdc54-fdb7-454e-8868-91c974ea56da', 'c560111e-7d25-4bf1-9e59-50730fe7bba1', 'cbca61eb-2453-4483-b1ce-8ba29c91f933', 'cd6bc8d3-8f36-48b0-b739-9e05610fd5b7', 'cef850ba-1033-46c7-a5bc-63416175ad06', 'd67abb62-817f-4736-a749-6e71488eed8c', 'df4a97ee-1fbc-4378-84f0-3ff27dabb9ab']","['0x474009db86fc03730b90c2beb8f4eabf8caef7dd291f0625784c2c6d7530ab0d', '0xa9a8e38f2b93ddc2f7c8b247bae32a5f6543ee029b944811dd9ed84ce0e75fdc', '0xa8a813be6d8e6c8dcbbee52bacb1b4beebb4638ce8179d256dde9ac3e365df48', '0xd1f462dd1be1d9dd03babecd5955b5d5fb5bb6d52bb0e0eba2b4faa408d9ca84', '0x37ddeec337b16088e4e604ef19f655f95da3e64c4c2733fb9fda1b34fb6bb4d5', '0x7d5932ea5133ffb90d22f79e5891625548c25a284fc1dcb59a13d6881fe231d4', '0x1485e91390b4c378f8136ad7289ab923894f5a9ce65550b5412e2e1233b375f4', '0x2a38354b465d452ca14f7a7c360c7baf1b6ec82ee149a75fa3dee5e2252abd78', '0x22afb53f34fb54ced900cc5135590122f764a9455f37d06979010fb77889abb1', '0xd483a973d43b71c4125fa4c365c1d311a3a97d94e41ebb7cda7f95c9a750541a', '0x116571eaee1c107a2a16890539614dc8d67a2fc61db3e1b2692161b93fc00ac9', '0x18b8fc88b627bfdda97c6ceac493d526107a0f9bea461fd7ba49d114f4ddfce0', '0xb521558aec37e5a45208d8fb55ec05449a6fa682bf90474272dbe916cde817c1', '0xe4ee1bb26ddf94287c862afe17350fdb273248cebf821668b73e0335c1d416c3', '0xd0a4c2f58123ee9081c68e0d71d4043416121eb940d96ad9b3d72f13a5d7276d', '0x945b06b59d2548928557f72c3e6e9adec17e9b9fe067639f7d7c9c56d13e9beb', '0x534dcd63a5d7dccf3c48d9accb8e907c3229f1dd680f2d5c8a94e4e9a6576e5b', '0x6073c5b3973d4cd28021ceb905117baef5bd7737748131015cfb7a2158cbdd1c', '0x32b958560dea21cf3e687b5489d79269334793abfea33a4180a29f34058b4caa', '0xf79e7c76dcc42216a72e1586a4805fb5f71715c0c0edc8849bb3b24e9e1669d7']"
0x0000000000000000000000000000000000000000,GiveStation,24.0,542.0,19,501,1,2,0,2,['e7dd162f-b609-465a-a416-a6e4b836da2d'],['0x9fec1b1a4bcbb5504a2f885526ddbda90953c2d0bca1ea8ee3c0edf57b68cf03']
0x0000000000000000000000000000000000000000,Intract,17953.0,17966.0,15515,15520,5186,5189,195,97,['de37c3d5-3a47-4653-8d62-08ce127b6e59'],['0xed339f71b87f4e03b6670f6c2ac88af88c1fbac806d18a4dfb2b8f53e001ec43']
0x0000000000000000000000000000000000000000,JEFE TOKEN,2998.0,15446.0,181,311,7,14,13,14,['0a8c18b2-c54f-4334-b1cc-8b655f5b130f'],['0x633efb52fa46c07c242c42175c9f3f43d683409af9c8d407c8c231959330cd01']
0x0000000000000000000000000000000000000000,Lido Finance,1346114.0,2050450.0,41143,80766,11624,17098,1121,1182,['0a08cce6-1a54-40c0-930d-027277dd2205'],['0x9ee3e22f8ebdedbb06accc304d00494c1adcfca56c70c79bdbf70244e93414c0']
0x0000000000000000000000000000000000000000,MACH10,1030.0,1504.0,407,701,93,181,5,5,['edbc4be9-766a-4896-9589-3531b578ff5c'],['0x1c4226c7d5999c26666ea684d95e36304d84047e066733a8537d391ba8eb122f']
0x0000000000000000000000000000000000000000,MagicalTux,2528.0,20471.0,629,3204,49,368,17,55,['e694b4c2-9394-4048-ab5d-d23c14c1cef8'],['0x832f864893035ed783f28f5b998d228c08678806e54607639e1823b59c5857f9']
0x0000000000000000000000000000000000000000,Micro3,49014.0,64567.0,3020,4384,1300,1769,530,349,['4c1fd2f8-1c08-4508-b17b-23cf65ba4d81'],['0x8816277f7e1ba12fa07490874886519350e10aa987f38427170c55726b274c48']
0x0000000000000000000000000000000000000000,Mind3,71.0,71.0,65,65,60,60,0,0,['5627e5e6-0c0e-442e-ac20-2ba8fcf32091'],['0xc1fa9009daa8939e776a330ba458fe0a00a4664979b72d4298f76c9af01b05e7']
