recipient,name,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,uuid_list,application_id_list
0x1e4c7ff127B2321eD05c43AF5E1015dFd8885F30,Thales Protocol,18435.0,103361.0,2106,14798,87,256,46,136,['4c2bd46d-c518-4798-84f8-27b0bdca3c73'],['0x554c5c35d7eacb5434cb2877aae7fecbe97b0b619bad7286f0d2045dba306196']
0x2055149768d71910aA4125CcBb9fDc46EdeB2436,Quidli,114.0,114.0,17,17,14,14,0,0,['be4c1824-c482-4316-b5c6-706e926061da'],['0xbbd0e79f9e390b86e3d520cef2ddb18ae3b54d67b88cff5fda7c98428cab63a3']
0x205b989c9b8944fC96d526083928D0Fb070D1E57,ParaSwap,2023773.0,3097930.0,48775,92763,6996,14138,1839,1668,['89c36fb6-a079-4b6d-901b-dac01e304291'],['0x3e644ac0d263dcac6cebbc59decb13c83503347cb965caaea91547ac349d1b40']
0x234dC0C407228B56147c56e4a20b89aaEf6b676e,Masks,85743.0,85743.0,16960,16960,15606,15606,434,217,['d4836d83-ab33-40a4-8963-60a0c563b21e'],['0x6c2e0b309f542df71961277554372f09cdc3d97cd8449b3fea61f8f5210d9415']
0x2462B983E444B317C999b85CE3BBa79840D36F76,Degen Name Service,662.0,662.0,21,21,5,5,1,0,['6d5a0660-c0c9-4936-8621-406289645d2b'],['0xef60c3ab6436942a10e9bb0197b2f1e31d7d98be3cd5e0a64f1091fa1857d069']
0x265985d0a57A4339509cd785f854668055924AF5,CC: App Type 8.20.24,24515.0,24515.0,22132,22132,2978,2978,256,128,['1e90433c-90da-444b-a9c0-7f2a50caf423'],['0x87880db0d81f71a8059e74d8e06df42122032d49df64aa0734b210405ebee0b5']
0x26a65cA76E1Bd0E3962DF3795fd160782Db24fc4,WOOFi,148571.0,283894.0,4012,14318,344,1052,64,110,['b27c62f4-d5f7-4b9a-8769-468b5fa4c792'],['0x035cfee33785ec92fc69013923f3cfe989568ef2afefb3c242e764ed3eca16d5']
0x288262DcdF3e2f3dbcb2DcFbF9DCC0D9AdC50f8a,Swaye,554.0,554.0,285,285,2,2,5,2,['bf0f3f7d-e39c-43eb-a546-a0d383a1cae5'],['0x5461ea3cd798d789fa1a74f4901a320a085b45fd7a5ecb424c129850ce06bb4e']
0x300ecEb6f549c14779DdCBD9BdFce4a2B1C7DFaB,Savings-USX $sUSX,25.0,25.0,11,11,1,1,0,0,['07cbabee-44a5-4fb9-96d3-f03d52f3dd37'],['0x1ed337ff96b6daac5e8d778c7d9e57b7910e930307071a9fdb2a07908e47bccb']
0x330875BED67074B0c261Ec147Ab535806E21EE2D,doginme memecoin,177363.0,500631.0,10739,39519,1434,5337,383,690,['d9a17633-b5fc-47c8-a00f-6a0b89dadd67'],['0x0c65af94143bb893fc7fd972e257c6ccdae61bf45f3614764fe53629fa95b3e0']
0x3363b291a21cC692A5e07C9C63E3DF45F135EFcd,Feed,91.0,91.0,8,8,2,2,0,0,['8b32b54d-42e7-4b11-8e97-d2c95a160164'],['0xac18b64f720d4831dfc332ef8b4e938daba62fb8ee44d0c652577aa4ea7d92f0']
0x3363b291a21cC692A5e07C9C63E3DF45F135EFcd,Scry,0.0,12.0,0,2,0,1,0,0,['4b8a828b-14c0-47fb-9688-48706601ebc7'],['0x6d6ec195193fe191b5d8dc4b2554b349fc81aed30625a7fcd637edecd2dee0a7']
0x3363b291a21cC692A5e07C9C63E3DF45F135EFcd,Vault,19.0,19.0,11,11,1,1,0,0,['ceac6653-ea1d-43b8-9e02-8329e5ee2a90'],['0x848b0e7099aa13e60cd4797d8c688146469559d17afc6aaf1f8934347bacda15']
0x35267Fa7083Eb6b22104c1bBB2d25ff402B7072A,LottoPGF,7.0,28086.0,7,233,7,198,0,1,['e889e847-33a4-4363-a002-5770bc036123'],['0x3425b5b62b06bb01c139e2552b598dd093836fac98cbf90942291872c3f49124']
0x357843d6d1ECE85ABA4032EfA31a2e813F519261,Checkin: Location-based “Checkin and Earn” social to connect IRL and onchain,1922.0,1922.0,320,320,310,310,4,2,['649e921b-3f19-4a5a-8d8e-6a42508c2741'],['0xe0b0b7b4c99c68c26a36f68e8bd7dfa524f6331f9a21eedc9e4b515ab86570ef']
0x37A6156e4a6E8B60b2415AF040546cF5e91699bd,Metronome,2.0,27.0,2,4,1,1,0,0,['76e7ae2e-7aa9-4d6b-832a-6a838772da18'],['0x359c4e54a2f3ed496cdaa266791e91fc52b2629586dc9a6260f1757543663dee']
0x37A6156e4a6E8B60b2415AF040546cF5e91699bd,Vesper Finance,3.0,14.0,1,4,1,1,0,0,['6104ece1-68f7-40a9-aeef-723f33e440ce'],['0xdcf5097af0e4e4d37f5b916e91e0a565a388888ad57fda7f6ae1d3d91f1577c2']
0x3EF1b0db4D10d2e3cE06699C0BD4EF0aAf897614,Pairwise,824.0,824.0,414,414,1,1,5,2,['9bf08440-e460-47a9-ad4d-147186967721'],['0xb91d706034a5fcdc061ceb4e3d3d27a6ffa33a675c3080848e4743f45103e5d3']
0x3bEc6a181d6Ef7239F699DAf2fAa5FE3A5f01Edf,Trash NFTs,22.0,280.0,2,16,1,9,0,0,['97eea1a7-803f-4ef0-942a-eb9bb99446d8'],['0x5e4c05651896e3fa1c33ff306eee899855a2028fd9a40de7ceb0453898d37e80']
0x3d4aaFbe86059d17C6263332c560f18C4F1Fec34,Gaslite Drop,45937.0,81157.0,239,502,13,48,9,8,['98dc9e5e-44d2-4c74-85fc-ea192fc2a251'],['0x13737b98846c8b709b9aea871f6daaf644bb067ccb2c3a0e7548b6c2a2a4018a']
0x3fb4920e09493b2bC7e9b7e14EA7585Ca8bAbF21,Songbirdz,4119.0,4209.0,1688,1690,821,821,20,10,['ec336ada-b777-42e2-9878-812a87d7bf13'],['0x4ba009002ca3ae72cf7f0d5b32fb4f62894c6f0e2001d88b8de1ef89cf05c272']
0x41a8709A508f07e6fA33dB0111813C5084fDC50D,Silo Finance,150738.0,150747.0,304,304,1,1,38,19,"['0e554b3f-68d3-4b76-9850-4d7e639bb06d', '2d687960-ac06-4525-86d4-c6f4550eee07', '79ca5360-e99c-4b63-a147-3b9ba74f81ac', '7f3f7eda-5a61-44c8-b8d3-e89fd718c4b3', 'fef42e13-7204-4f1f-a20c-065e6baf2b51']","['0x5bdf3a79131dd1e24811bd81917c3bd08edc511a1081bc25cca32d62f4bf8478', '0x8bea4fa55d0a3a2942c2bfdcd58c2208fd907cf50e7f0348d9b8a8845bbfef03', '0x075525294b6f9562c8bf26b677ed96e1ea8099190fa46b5b028518a9c1955c49', '0xa580959f06f03d5edb6df9ad6f1f8c158d39bc5d1eedd2733ee6b7c8ab351176', '0xb2f8227650914bbdefdf06c6b233868fa0752089683a6c9c771aac7ab0507f39']"
0x44e156CBb4506cee55A96b45D10A77806E012469,Pixotchi,138627.0,188240.0,10898,14307,2188,2435,203,156,['55ea809f-3a8b-4ccf-abbf-4e25374dd239'],['0x6f71cf74f6766352da09cb5028a28a4a3ca7f16e2649333c8e5eabc8e5945f45']
0x45d2Cc0c0a4641079B3203ED0d3B66456a02d4CF,Sushiswap,11.0,20.0,7,12,1,1,0,0,['2fa49154-5fd8-46ea-b594-84491efdc590'],['0x5ad945659d789fa3fd385ac04d0937e1ec9ea78f0f8f1e56562b3e78a431c87b']
0x460464c72E010A805043195c56690347f67BE746,BLOCKLORDS,43837503.0,43837560.0,1219383,1219386,22,22,41855,20927,"['004e7e42-5b96-47fd-a041-a30871fbe11e', '05d53917-0603-43a1-b241-8698bb9280ac', '0d9b31cc-c2ef-41c3-8ba0-dea4a3a37de1', '1039bd70-c8fb-43fa-a01c-d183b08a10c8', '45ca9db5-1b98-4e3a-9999-09f69ec6631c', '49c9b843-5d3d-4dde-98ba-7e001dca5c7f', '532b548b-1e3c-4582-bdc2-f7900a8d1a79', '6d241ba1-8328-41ad-8f3b-712509f5b150', '8185bfc1-5b24-4d67-87f6-3c630da1d34f', 'b76bef3b-9a68-474a-b1ca-3f6a7bc30c2e', 'e453a6bd-98fc-4e91-880f-b7593003ac65', 'ff7d4b80-83b7-4c59-93da-5b2524195dc9']","['0x317bec3ec76c0054e87eb17b9a256fa70d09839b88950a2c5f9f5c39ae8e4453', '0x70250b5e6c38addbea618fb8a35f5e28e9056c2eb36b901630fb866144509821', '0xaa905aeb3574c49b80d95b3e37ab11428c24698b7e009fc8f949538702e697dc', '0x063daf7bfb1f705fc4c05d8c28481d30c1700950f24607fcba4ea70c116bf2ec', '0x1eb735cf7d9466a94f705a702988ab493c663764f57fec7a040e746f7799b725', '0x2a6f2615cc3bcf067c3357b235c51eb2e032cb820d1fe07a35a1b644649eacfa', '0x7b0f18011b9cae4356f71a5401977643bd6b6e81fcff1829d31dfe8f21b7fee6', '0xd1c6d4b89fb1f35c76d6a1bf55f00410c3375c4b49f2c8173f0ffc4b2c359852', '0xb51534be8c82478aada12efe620286540be6cc4e7efa33415a53b75351639098', '0xe7fecd86f570003824c85a00e8f197e0a19a724f4cfe83a1e3baeb85ac24193f', '0x11d01702db51c936b80d9b5b12cc97e072b90d028f52f6df5305012d9d579a6f', '0xeafd055314506c6c000918288a3e93b1011342af4bf4506ce0e265b1bd275684']"
0x48294a067D1bC5a58BCbAB4b3bE329d078D9E1Af,Pin Save,0.0,245.0,0,134,0,15,0,0,['1cda49ae-4a15-4437-a24e-260f4d43cbaa'],['0xac5d57eceb4b55b3f5d112f0685c1e2fda71c1617515a0ce4d5b0dcc0408c645']
0x4A0658bdADEF6CBbF7cB6d55eb7CB684886Fc74B,Safaricaster,131.0,131.0,81,81,72,72,1,0,['f229ae60-0332-47ad-8f82-87ab52e06b68'],['0xf6d7c8dcc61e2f1abd2080975bbe8e383176c78e4dba2dff8dd75c39b50ad284']
0x4A29c8fF7D6669618580A68dc691565B07b19e25,Demo STG Project - Contract - Prelaunch,59.0,361.0,25,95,3,18,0,1,['3ef45361-b5be-4fea-9ca7-841ca479a89f'],['0xcf38187a6cf25b69b23937f4ca107d8c5df144324d08e5c2c2ef2a2d463294a9']
0x4Dd958cA0455BFb231770cD06898894b4c974671,Moshicam,12926.0,12926.0,2,2,1,1,0,0,['ad694136-109e-4227-a214-1329f099aff0'],['0x943f2e4e6a6f4bc854c3906645eec25ff4c0a77fe89fca1c14333e9312d451b0']
0x4E030653a39B3478aDc03d2c7B6F8C45aE685882,SuperBoring,105114.0,105114.0,423,423,159,159,53,26,['29f32cfe-7faa-4d47-829c-440137a7899c'],['0x823a9fd77f25c6d27a8458032f1dfcc374df39d8b32c20b80945e3696e78f51b']
0x4ECfFE726461504516B6B0A93Ab1CE33793E878B,Moonwell,2579831.0,5886208.0,89672,178208,6407,11560,2078,2171,"['05590f4a-c3c7-4135-8217-7405ce448659', '0ef95490-90d0-4931-9a0c-7bcd973f82a7', '155cfc51-23bb-468b-bb26-45dd6eac111b', '15698120-3260-417b-8200-530bc0b32d71', '1f8d61b5-f4fb-4703-9b8f-a1274b0f16e7', '1fcde8c1-3fb8-4fc5-b4cf-90e0ad3848e3', '241553d3-be77-4f3c-88ac-4fb3c8de1d29', '27bba487-35ab-46c8-adbb-5061599b34bb', '292ce6aa-bdf1-4c0c-b58d-f6cab1d8aa31', '4dbeb15f-e0c9-49df-8977-69442ce91adf', '503dca65-d176-4b51-a533-375df03b3659', '5cc0c484-1346-4daa-b0f9-1f6da9630973', '658b26d5-b981-46b5-9e3d-e31f3a9931c2', '73b78ec1-1947-48b8-9692-ed9b08558c27', '81325e14-6362-46d0-a43b-3719e2f75cf7', '8ca75fc4-7798-420e-b154-1df4b4037683', '90db12ec-ba0c-4d85-a2d0-4c207ddc2092', '950f76e4-a1b5-43c7-be99-a4f528df35a8', '988ca7ca-5a18-442d-8e3e-7adf4d2ba180', '9d61e595-3a9b-4f0e-bd8f-26032f0cafcb', 'ab050afe-be92-45c3-820a-ae025d5d1a7f', 'af6c9bee-bd63-4b76-aafb-3fbad419bb6f', 'cc61ab0d-2bd3-412b-8340-e85ac7184667', 'de87f1e1-6b26-484e-8289-74bc2126137f', 'e0a2e6ae-d4f7-4dfc-97ba-e68593163fec', 'ebad931b-5b90-408d-93aa-174ba1f0a460', 'f1fa7bc2-07fe-41cd-a756-d50921a56052', 'fbc32b1d-0388-4b75-967d-18c53892534e', 'fc68d66e-7157-45b0-acf2-d81611d5630c']","['0xdaa3cf5970c42f63dd99b40f03615b041829d84925d496d0d46d2a9931e11db3', '0xb235fdd4e5d29e7e70ec8eb2caa173e369771989d65954ce2e30a16632766b2b', '0x517471d20d004b096c792c7135f98dad27365b91ec387a99fccd548f554e180b', '0x4dc78ff5e1253f0fada6aed10a10a735c212c5fe30fa0e959dd9be3d8807ea5a', '0x07fb01622cceb523ff4067241d4acd826b1bcda500233753aac473644c5a0083', '0xf5095d6a4b8df4f906e32c9cad40e561f833a4244283003dda5117c9feeb7e0c', '0x205c47387983a467c6d85e278f9fb5b5af3b494556d7169e1b363f82121bb211', '0xc5ac77494d0691243623237fa2050394294863e42908a54fbab68d5fd873ccfd', '0xe5b312f749d7dd47667e6c69fffbdabdd1444f98208f0b09a9ac43bc8ea7d82e', '0x7613b8da263218ffb502b10d3f124b34d9c6a929be8e325518d80b3ebb3bcf57', '0x7cf0c65713160f965f394d329bb6974e5c941ee9171a261f52eb8c81f4f90d59', '0x907053891ff7bf8b24c240ba7c715a59f9aa4422fee9ae47a7dbb43fbd90481e', '0x00ed76b55c47e9bb3ce0ee290dc64270a666dfbfaa17558367e255ac4c45eacf', '0x3ee086f05454f554752e5f97debfc3a1081e4d6e5a7201bc2cb5019ec68fd0a2', '0xbdbb7d3e410586c7840905bb0f3abfb88492f50557e252cc42f9fef4ba1596a1', '0xa507bd64179865870232d810466480a0a3ebcf44b84566fa6abf7fdaee8c545e', '0x3c4a5545a9bdc843bf8510cb2f77d269273065c9177b9732b96034b58e38bdbe', '0x3a8630a9dbdc28a152a3b882657b3b506836b36b28449bbda56f7d756e763228', '0x315d628de0c306f4138c06e451dabce0299624c842a53c5cef7151b0825f9d2c', '0x7790b98f6b2164539b97eb94da376b9efe31c95d133519bc178e42452c3b16a1', '0xc0036da3ccfe7b4f85300aee27b1e25b6c1c86d2461831d8d3fef94da5e7944e', '0x1f04bcebbec9d3cde8e0cebd06956341ae8a2b687077c6cc3646ce850ddcc98e', '0x8edd7401130a0d061a80e44c15da4e9ed562441c5ebfc60ac141c1237e9425e5', '0xb1fb379d33e27c289e85ca9c21aa79275e2afa496e99418e3477da4d3af67b0a', '0x835fcc0799a21d71d7ea9a2207e172b766a7270ab64cdab382328902c78853f8', '0x52177cd93b57786bd2a01f105fd351d9fb7d0ea53daea5336b8a81db1848a516', '0xd9a69a50cc6f5f85df6929d5254ad2e7dad7b2dccc841a0d2963277b06bac1c3', '0xf9b4897a6aa72f6b17dd6021e36fe8fb521d61c6ceaf2520219a6971f250befc', '0x247e61613bbc3036de8d9f7598799674f68785efec579966497d3ce0958742c3']"
0x4a6894Dd556fab996f8D50b521f900CAEedC168e,Test Project,1.0,1.0,2,2,2,2,0,0,['b88ce9ac-bb8d-4c74-be06-74a3a9a821a6'],['0x7dfa73e6f3aaece7049484dd01ea6f78f526e8cc8cac474064870f83a9b7f79d']
0x4fd9D0eE6D6564E80A9Ee00c0163fC952d0A45Ed,Light,6.0,10.0,3,6,2,2,0,0,['7c519bb4-5e06-403d-92ff-e713860d2c8c'],['0xc03fee1b46703ee64fc631deacec461b1e93a2ad97a921b6a4e7e8d6825da53e']
0x5083602Bc796Ff1435769a4C66AFD482a4e6E08A,dHEDGE,62298.0,76400.0,196,369,2,6,22,21,['3df2cd3b-06f9-42d3-8a5f-a8e5b377a127'],['0x5322710352279831e0c92adfd10ac29b2a41eb8444081b03fc7e8f89785ae76a']
0x5083602Bc796Ff1435769a4C66AFD482a4e6E08A,dHEDGE Base,13746.0,17213.0,109,163,3,5,9,7,['e1020776-ad77-4f46-9736-180038ff0896'],['0xdfebc4fe08d758496c2d33d1b06b4f814de6c9e985570bfb5285075652ddaae4']
0x512b55b00d744fC2eDB8474f223a7498c3e5a7ce,Coop Records Music,2.0,208.0,2,119,2,94,0,0,['724e08e7-f5dd-4dcd-bb4f-cf50045c4d53'],['0x3e0068679911d0e4bfdfec9b04735997acf9eb7b473b33148f0f9c3446a0feaa']
0x5183E0203858aa3E3bc3A7D9cb41875a4c0A6216,Team Super Onchain ,0.0,40.0,0,3,0,3,0,0,"['430a1b78-4731-4576-a59d-1340e59a48e9', 'd5ab9b46-0fa7-4fc7-a525-be40da7d597d']","['0x5c199645abbac423d4e687e478f4ce4a2748cce938ec10e990ce4954d5d7ce4b', '0x3dbc46656aba05f96857e02efa6aed9ced561b90e84d92010228b8c3db5efbb4']"
0x56eeD2aa6DF7da7FD721629a99f3890E814167DB,Sturdy,4079.0,33772.0,2461,7756,878,2358,35,84,['480aae5a-3e1b-4b9e-a8e8-3a06a47f78af'],['0x9cf4c1fee161c5a9830a5b5914ba9ad639a981dd378e10bcfe07cf49fd1b0d79']
0x5D06A3EDC921B5F69bE1D21b66A5160C3b5e2856,Comet Protocol,3.0,57.0,2,43,1,12,0,0,['96eacee2-22ed-498e-9423-3ed4a545c1b1'],['0x94314f5c3aa46e9462a035f1547fb1decc0bc7375c9b5894eebff4ac548cbc87']
0x5c54560B6da16dCEdFAeF1d9118c547ED2F373eC,Toros (Base),9149.0,9402.0,6507,6582,1691,1693,94,48,['11c708c3-7202-47ef-83eb-93128333efea'],['0x9d3534d8a4cb7e1eb7369ab070666bcb13eb0e4f7f4368d8361f0180c9cab5dd']
0x5c54560B6da16dCEdFAeF1d9118c547ED2F373eC,Toros (Optimism),48375.0,52060.0,4593,5539,158,338,283,157,['b0de8ea4-0efe-4cd0-95be-d3fd697b8986'],['0x1f13d386102841ed0fdbf59abdef02b9cf585af9fe1f78c86f0e828db2dfaad8']
0x5f97Cf9DD2cb7b53C47f6b1c26Ab4Bd143325d45,Onchain Mecha,44.0,44.0,2,2,1,1,0,0,['1dd6cb56-dfe3-4082-a6d0-1531d1f902e3'],['0x0fedd2abc236715f83f51743617fc00af12f6c1b6c4d6a15996b7f99ce857cc0']
0x667AEf1bf93f80eCd0Ea83283e79066839698337,Let's Get HAI,45150.0,78376.0,287,808,1,1,12,14,['4de4462a-f27c-40ff-aeb6-01c2f1bbd3b0'],['0x5ad7a63e54232e41891adfb3df1b97dcd79a8f79e88010ef5f132c5cf4394da8']
0x68E08371d1D0311b7c81961c431D71F71a94dd1a,Onchain Affiliates,334.0,334.0,329,329,316,316,3,1,['67209e62-be17-43ad-9259-b8cd4a8ae1b2'],['0xf5a7d6bc6d5cb1ad009a7832f9a770d241a52a3cf9e566f8542167e18e275a79']
0x6A08A2b9C30174506bF4922d0C580995136c762D,KRASH WORLD: DA GAME PASS,48.0,48.0,3,3,2,2,0,0,['00df8f90-6f06-4b92-8ed9-13f3fbe8cbcf'],['0xe9c2ab680cf8be76833c5d8daff5164c992f720e7ea9bbf6f499ae43e31d8648']
0x6A08A2b9C30174506bF4922d0C580995136c762D,PSILOCYBIN,305.0,305.0,273,273,124,124,3,1,['44cceb66-8501-40b7-b977-b9aecf4d4b3b'],['0xb30455ce17e21c7d7ae3969e6c77a2837c84992444d93a8b76944cca06ad1a03']
0x6CeBc0bBc501d73Fe71D9fe3063fA22d1B17f3f4,PokPok Protocol,4512.0,4512.0,61,61,19,19,3,1,['5df30ae5-bda9-4799-998f-a82e794396d9'],['0xc436974c9c894ea957d05755ff99f31cfa8a3386d4f7cc69bf54ee820e966db3']
0x6E23873AB8dD6Fb4823dF8A92D43643Fff537684,BasedChad,9051.0,49158.0,1329,8860,147,1202,30,106,['fdb1b477-97c1-40a3-8fba-8cdcd1db580b'],['0x20bcd145876dbe5b71ea89ac59867d4d077c3f37f9d89c5b88921f56e8b70737']
0x6a2E16EA3a608E8D697B3fc0f59d0012A76901e4,Balancer,4892831.0,10674715.0,40466,319424,6292,28431,1136,2662,"['0a111b32-b39c-4f9e-8e2c-52452c31016f', '36037695-465b-46bf-8af8-917d96a2d176', '9bdddd91-6261-4fe4-acc6-9b16acfbda38', 'bc122237-96a4-48b9-a568-acd523b799cb', 'd8a47ba1-e10c-4499-80f1-17694ed786b1']","['0xc810d42226b179e1228c923b2fea677ba862ac4fdc606c503e7119637fc0f425', '0xfd4997f0289db4bdf38939a823c839242430e5182b332b171aee457abcb7d5ea', '0x04d0e0e8a4b25a2a5e0dc1b952d5564c77489f3647a68dd805d71af03434e2f4', '0x234e05da8dd03617241d37b68b7a5e96ffad59159e52f092c34d03b025836de9', '0xbf7fa5f2141df1096f44f4f52e2e5e4ac4c66f30202e8bb82070ea9db801f52c']"
0x6bAFF8A3449cc2E196F4b873f49e03E09345B1E1,Web3 Hackers Collective,0.0,12.0,0,10,0,3,0,0,['19349c4c-28d9-4ee0-9596-f5b0a8210a49'],['0x21bb26b78e8e729ad936818ac474b80a14a5618265cc095b10cf1dfb3fd9da15']
0x6cfbF06E8b6612B39333eA7c230208D1d178278d,Another World,57.0,142.0,3,5,2,2,0,0,['3d669a90-f377-4e3b-91f0-8d0818d5f1f3'],['0xc98e475c2d6d444d92c9802ef4f7ef7a2bb2e98ea9783e5d677ad481af1f6f21']
0x6d9fFaede2c6CD9bb48becE230ad589e0E0D981c,herocast,267764.0,511853.0,321,520,135,208,14,15,['1e96baa9-afe3-429c-a3e0-ce88fe2a3d1c'],['0xca1d969acf679ada68110f65ada056a5e9854f23f23df8a6aaa864261f0d29ed']
0x6f1130E4b96C681e2721667DDfFcA99dD6824a2d,Kim Exchange,4017.0,64179.0,2531,35581,869,11356,29,249,['3ea994a4-c20a-4849-8b72-5b0c33c12b73'],['0x48b619e46c22649135d2f0fd1aa896bbd4b953b43a4bd75c4285bbf63720f75f']
0x702ba46435D1E55B18440100BC81EB055574875e,Bario Entertainment System,3630.0,3630.0,584,584,61,61,9,4,['12aef6c3-f681-4483-80be-d754b7f1990a'],['0xfca117217425e7798ae92c9a0e3039a6f659d3a1435cd1f3c277006c7b1d752e']
0x704CF202792341d79A9Fd6DD97046aa7eF3F4319,Automod,53.0,416.0,35,127,3,11,0,1,['8de485fb-2822-4eac-b6e1-a064604317d1'],['0xdf5cbcfa0d94e9ba9b42d1172103778189cd7c2e0d04c493b4c97a3dd5cc8584']
0x704CF202792341d79A9Fd6DD97046aa7eF3F4319,Glass,53.0,416.0,35,127,3,11,0,1,['b81130c1-7f80-46f2-a26e-dfa4fcc1ce7d'],['0x7facd3e604b4a4df20c8cca4424355f5087f469486f03950c4fa49a39939819c']
0x73f6F1eD2B4246Aa5313abD8799164F632E4409C,Sunnypunx,47.0,56.0,15,22,11,16,0,0,['63313238-bd94-43ab-b981-b9e778917ad2'],['0x3c4c4c2e937bdd91548bdf1ab1920f2b004acb15bcb598416da933242bd5f5b8']
0x75C83356987c8d813829D9FBb5DE504b547750A6,Based Bodega,374.0,1029.0,74,157,34,65,4,5,['2243495c-9a80-4741-9b5c-effae2ec39f5'],['0xb17cb8110fe341590bb7b30c1bad79771bd6642afe602298fa6c5851afd4e550']
0x75F2Ef654919CA7fd03E73BfDF60b9460e5cDE8D,Charged Particles - Web3 Packs,65.0,65.0,23,23,11,11,0,0,['5f081f0e-9834-449a-b748-fa86bcfd08c7'],['0x6839d3b0a2a3b6d47aec2818eb09792d474d2a7ff6a358ac999b3e87cd80b0ae']
0x7639b96593B2E34F27Ee57f4B1583c4b33dd9679,Smellcheckmate,37.0,37.0,32,32,30,30,0,0,['c4d583a8-91fc-424e-861f-f995e976f58d'],['0x964f36b4b733d6edbbf35a617ff95f0e2abf387269e0308c818fce49d17735f8']
0x76a71d7D72d746B20187461baCE98806ebBa652f,BerryLab,129.0,129.0,106,106,79,79,1,0,['5523b0e7-3038-46cc-9218-5f5e52042b14'],['0x8d803dc422901f644f415d180794a729538e68886631339cea0d39479e2b7a70']
0x777c47498b42dbe449fB4cB810871A46cD777777,Based Onchain Dinos,260.0,1612.0,74,486,30,176,1,4,['088667fe-da88-4c9d-a185-b48ae63d48ea'],['0x37322fa0932312fdb004fba3cc2dbccdbf2cb7a5f6639093ce8f68974b861660']
0x777c47498b42dbe449fB4cB810871A46cD777777,Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,49.0,4210.0,46,2915,34,2037,0,18,['c2c5a003-7424-41af-8ad5-6873be413eaf'],['0x348b4e37ed74cc6a5fcb7fdd58fdc84e115a74e1f9ebb1ddc334bb155dd2443a']
0x7A254a1271f338995d4768C5066508B1b0946aA8,Snickerdoodle,267609.0,270714.0,18989,19140,14228,14308,434,220,['951cae03-ee9e-4408-8e5e-203d97be52e9'],['0xdd11c5d6f935ec24a5ba4b9566deb5dd38dc478c95c4c6d8d5b7d39ede96f20c']
0x7aA49f55A538586764b65a0C4C7e1D8C6243C027,SynFutures,3468707.0,3468707.0,85865,85865,133,133,2119,1059,['223128bf-802d-40f8-9c33-25f88a114c7e'],['0x48fa9bdbcf60438eae9fa452231686b4e8eea87271848d44e6d7d8530d429399']
0x812EC7e3f898F3aCAC1e366694d4787657208378,SwanSwap,14.0,14.0,1,1,1,1,0,0,['cffd93db-2896-48f4-a6aa-a288209e05ba'],['0xdd1d9a23eecf137e4ecd25330448d6f8137a859d603b1a9b62a8a2de42b0cabb']
0x8136Efbaf75D7b13F033573666f393d65Da35953,Polynomial Trade,1155.0,1155.0,2,2,1,1,0,0,['dcbaaa8b-e7da-48a1-a5fc-8ee55f4e7650'],['0xa4c99f2bbff893ca960a001ffa038851b7bc89ee2964fdb2e48f59e33f79e1e4']
0x823c6115651D915614EB8d9f899d6d1FA939936D,$BDOOGS,10.0,10.0,7,7,3,3,0,0,['52af194c-b618-47a2-9a64-61c27a21d16b'],['0x73e61d0cde9f5d88d430f7b6315418dd8c5419c161bec32c0d35fdb302a5199d']
0x839d36595175E1F678110d52D8265a2FEa9607bA,TLX,0.0,434.0,0,418,0,100,0,2,['ca0f8386-dd66-4486-8a50-060e2beb29aa'],['0xc75efc0592ffc51b8a354f712218e3ce0117a5a1f77ee8d619223fbe566fcfa7']
0x842dff65E92cAEcc462D92FcE91ee565dD22c2C9,Bend,610.0,856.0,4,5,1,2,0,0,['dda6e3ea-38b3-44e8-ae16-2383d8918203'],['0xc4e9df81c79b30af1ab23e19250dba8b6190b06aab5bc4c0518e4b24d89e4e69']
0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,Air3,3156.0,3156.0,2168,2168,328,328,27,13,['795a96c7-4d7e-4c58-8958-aad52d6a8f12'],['0x6f5b1aca46cd8eed3035a93a800f6d0b25940a0d498c61a0b51e66d9a19e49eb']
0x89213f11E4A356d450Ab89A876F4c1cb5B8996DA,Privy,83.0,124.0,31,63,7,14,0,0,['97a50e6a-18df-4572-bcb5-235b63f7e256'],['0xc0c5f914d4d70001da88023ad94cdf5db4838821bba391f2e87dd1d2106794e1']
0x8d17B248525EDB99cc36c4D458871aDC8B025cD0,Dragon Academy,11.0,11.0,10,10,5,5,0,0,['d43a073e-a744-43a7-804c-3e1c402c2c9a'],['0x4bb4a4c87b8e7c08fbdde8bb8c18b6cbcad3435160ee94afa4f209cae0fec0df']
0x8dA48e5846c06B558970ACd42EDc7Da8799481E4,WebHash.com,598.0,1563.0,271,481,59,145,3,3,['d4a2d1b2-ae53-4e4a-a860-8fcbffb48351'],['0xc2287cefb381697388d9394dfa8ad75ecfe8c0312d32fdab45816f739851afe2']
0x908f23Be36C2447db79Df2aE3A8A21c079217546,AlfaFrens,1191.0,23174.0,795,15395,1,4,9,86,['62729a7e-c90a-4494-8391-3646724a2fce'],['0xa79a65136c580bb49a75aad69ce3f59cbf7dec265a2ea9a1f9c3e15d278ded24']
